School_ID,Short_Name,Long_Name,Primary_Category,CPS_School_Profile,Website,School_Latitude,School_Longitude,Program_Type,Application_Requirements,Program_Selections
609709,GAGE PARK HS,Gage Park High School,HS,https://www.cps.edu/schools/profiles/school-overview/GAGE-PARK-HS,https://gageparkhs.org,41.791013,-87.688954,GAGE PARK HS-Health Science,<ul><li>Application Requirements: High School Admissions Test (HSAT) Scores Required.</li><li>GPA: N/A</li></ul>,<ul><li><strong>Priority: </strong>General</li></ul>
609709,GAGE PARK HS,Gage Park High School,HS,https://www.cps.edu/schools/profiles/school-overview/GAGE-PARK-HS,https://gageparkhs.org,41.791013,-87.688954,GAGE PARK HS-Significantly Modified Curriculum w/ Moderate Supports,<ul><li>GPA: N/A</li></ul>,"<ul><li><strong>Selection Type: </strong>Applicants are selected by random computerized lottery. If the program has priority groups, students in those groups are selected in the order listed.</li><li><strong>Priority: </strong>Proximity Preference,General</li></ul>"
609710,HARLAN HS,John M Harlan Community Academy High School,HS,https://www.cps.edu/schools/profiles/school-overview/HARLAN-HS,https://www.harlanfalcons.org,41.718372,-87.620623,HARLAN HS-Digital Media,<ul><li>Application Requirements: High School Admissions Test (HSAT) Scores Required.</li><li>GPA: N/A</li></ul>,"<ul><li><strong>Selection Type: </strong>Students are selected by lottery within groups with preferences for students who have combined HSAT scores above the 58/48th percentile and who live within the attendance area of the school.</li><li><strong>Priority: </strong>Proximity Preference,General</li></ul>"
609710,HARLAN HS,John M Harlan Community Academy High School,HS,https://www.cps.edu/schools/profiles/school-overview/HARLAN-HS,https://www.harlanfalcons.org,41.718372,-87.620623,HARLAN HS-General Education,<ul><li>GPA: N/A</li></ul>,"<ul><li><strong>Selection Type: </strong>Applicants are selected by random computerized lottery. If the program has priority groups, students in those groups are selected in the order listed.</li><li><strong>Priority: </strong>Sibling Preference,Staff Priority,General</li></ul>"
609710,HARLAN HS,John M Harlan Community Academy High School,HS,https://www.cps.edu/schools/profiles/school-overview/HARLAN-HS,https://www.harlanfalcons.org,41.718372,-87.620623,HARLAN HS-Significantly Modified Curriculum w/ Intensive Supports,<ul><li>GPA: N/A</li></ul>,"<ul><li><strong>Selection Type: </strong>Applicants are selected by random computerized lottery. If the program has priority groups, students in those groups are selected in the order listed.</li><li><strong>Priority: </strong>Proximity Preference,General</li></ul>"
609712,HIRSCH HS,Emil G Hirsch Metropolitan High School,HS,https://www.cps.edu/schools/profiles/school-overview/HIRSCH-HS,https://hirschmetrohs.org,41.753748,-87.601727,HIRSCH HS-General Education,<ul><li>GPA: N/A</li></ul>,"<ul><li><strong>Selection Type: </strong>Applicants are selected by random computerized lottery. If the program has priority groups, students in those groups are selected in the order listed.</li><li><strong>Priority: </strong>Sibling Preference,Staff Priority,General</li></ul>"
609713,HYDE PARK HS,Hyde Park Academy High School,HS,https://www.cps.edu/schools/profiles/school-overview/HYDE-PARK-HS,https://hydeparkcps.org,41.782257,-87.586615,HYDE PARK HS-Broadcast,<ul><li>Application Requirements: High School Admissions Test (HSAT) Scores Required.</li><li>GPA: N/A</li></ul>,"<ul><li><strong>Selection Type: </strong>Students are selected by lottery within groups with preferences for students who have combined HSAT scores above the 58/48th percentile and who live within the attendance area of the school.</li><li><strong>Priority: </strong>Proximity Preference,General</li></ul>"
609713,HYDE PARK HS,Hyde Park Academy High School,HS,https://www.cps.edu/schools/profiles/school-overview/HYDE-PARK-HS,https://hydeparkcps.org,41.782257,-87.586615,HYDE PARK HS-Digital Media,<ul><li>Application Requirements: High School Admissions Test (HSAT) Scores Required.</li><li>GPA: N/A</li></ul>,"<ul><li><strong>Selection Type: </strong>Students are selected by lottery within groups with preferences for students who have combined HSAT scores above the 58/48th percentile and who live within the attendance area of the school.</li><li><strong>Priority: </strong>Proximity Preference,General</li></ul>"
609713,HYDE PARK HS,Hyde Park Academy High School,HS,https://www.cps.edu/schools/profiles/school-overview/HYDE-PARK-HS,https://hydeparkcps.org,41.782257,-87.586615,HYDE PARK HS-General Education,<ul><li>Application Requirements: High School Admissions Test (HSAT) Scores Required.</li><li>GPA: N/A</li></ul>,"<ul><li><strong>Selection Type: </strong>Applicants are selected by random computerized lottery. If the program has priority groups, students in those groups are selected in the order listed.</li><li><strong>Priority: </strong>Sibling Preference,Staff Priority,General</li><li><strong>Note: </strong>Students living in the attendance area are guaranteed a seat and do not need to submit an application. All students living outside the attendance area must submit an application. Students who live outside of the school's attendance boundary are randomly selected by computerized lottery. General Education and Students with 504 plans must have an HSAT minimum combo score of 50% to be considered for the lottery. Students with IEPs and English Language Learners must have an HSAT&nbsp;minimum combo score of 40% to be considered for the lottery.&nbsp; </li></ul>"
609713,HYDE PARK HS,Hyde Park Academy High School,HS,https://www.cps.edu/schools/profiles/school-overview/HYDE-PARK-HS,https://hydeparkcps.org,41.782257,-87.586615,HYDE PARK HS-International Baccalaureate (IB),<ul><li>Application Requirements: High School Admissions Test (HSAT) Scores Required.</li><li>GPA: N/A</li></ul>,"<ul><li><strong>Priority: </strong>Elementary Preference,General</li><li><strong>Note: </strong>International Baccalaureate (IB) is an inquiry-based, concept-driven framework that aims to develop self-directed thinkers and reflective problem solvers. Students enrolled in the IB Program may receive college credit for their high school courses. All students applying to this program must take the CPS HSAT. Elementary Preference School(s): CARNEGIE</li></ul>"
